,0,1,2
0,0,0,0
1,1,0,0
2,0,0,1
3,0,1,0
4,0,1,1
5,1,0,1
6,1,1,0
7,0,2,0
8,2,0,0
9,0,0,2
10,1,1,1
11,2,0,1
12,2,1,0
13,0,1,2
14,1,2,0
15,0,2,1
16,1,0,2
17,0,0,3
18,0,3,0
19,3,0,0
20,1,1,2
21,1,2,1
22,2,1,1
23,2,2,0
24,0,2,2
25,2,0,2
26,3,0,1
27,1,0,3
28,0,3,1
29,0,1,3
30,1,3,0
31,3,1,0
32,1,2,2
33,2,2,1
34,2,1,2
35,0,0,4
36,0,4,0
37,4,0,0
38,1,3,1
39,3,1,1
40,1,1,3
41,0,2,3
42,3,2,0
43,2,0,3
44,2,3,0
45,3,0,2
46,0,3,2
47,4,0,1
48,4,1,0
49,1,0,4
50,1,4,0
51,0,4,1
52,0,1,4
53,2,2,2
54,3,2,1
55,2,1,3
56,1,2,3
57,2,3,1
58,3,1,2
59,1,3,2
60,1,1,4
61,1,4,1
62,4,1,1
63,5,0,0
64,0,5,0
65,0,0,5
66,0,3,3
67,3,0,3
68,3,3,0
69,2,4,0
70,4,2,0
71,0,2,4
72,2,0,4
73,0,4,2
74,4,0,2
75,0,5,1
76,5,1,0
77,0,1,5
78,1,5,0
79,5,0,1
80,1,0,5
81,2,2,3
82,2,3,2
83,3,2,2
84,3,3,1
85,1,3,3
86,3,1,3
87,4,1,2
88,2,1,4
89,1,4,2
90,4,2,1
91,1,2,4
92,2,4,1
93,5,1,1
94,1,1,5
95,1,5,1
96,0,0,6
97,0,6,0
98,6,0,0
99,4,0,3
100,0,4,3
101,4,3,0
102,3,4,0
103,3,0,4
104,0,3,4
105,0,2,5
106,2,0,5
107,0,5,2
108,5,0,2
109,2,5,0
110,5,2,0
111,3,2,3
112,2,3,3
113,3,3,2
114,2,4,2
115,2,2,4
116,4,2,2
117,6,0,1
118,1,6,0
119,1,0,6
120,0,6,1
121,0,1,6
122,6,1,0
123,3,1,4
124,4,1,3
125,4,3,1
126,1,3,4
127,1,4,3
128,3,4,1
129,2,5,1
130,2,1,5
131,5,1,2
132,1,2,5
133,1,5,2
134,5,2,1
135,1,1,6
136,6,1,1
137,1,6,1
138,0,0,7
139,7,0,0
140,0,7,0
141,4,4,0
142,4,0,4
143,0,4,4
